Bokeh Technique Profiling Summary
==================================================

Warmup frames: 5
Profiling frames: 100

GPU Timings (ms):
--------------------------------------------------
Pass                                Avg      Min      Max
--------------------------------------------------
Total                           187.622  186.162  195.028
CS: GatherDOF__1__BlurFar        89.478   88.950   93.515
CS: GatherDOF_BlurFar            86.541   86.032   89.814
RGS: Raytrace                     9.037    8.577   10.300
Buff: Scene                       0.511    0.388    0.756
Buff: VertexBuffer                0.463    0.398    0.902
Tex: GatherDOF__1__DebugTex       0.039    0.034    0.043
Tex: GatherDOF_DebugTex           0.033    0.028    0.036
Tex: GatherDOF__1__Output         0.033    0.030    0.232
CS: TemporalAccumulation_DoAccum    0.028    0.025    0.219
CS: GatherDOF__1__Setup           0.026    0.022    0.213
CS: GatherDOF_Setup               0.024    0.021    0.228
CS: TemporalAccumulation__1__DoAccum    0.023    0.023    0.028
Tex: GatherDOF_Output             0.023    0.019    0.026
CS: ToneMap__1__Tonemap           0.020    0.019    0.021
CS: GatherDOF__1__Recombine       0.020    0.019    0.022
CS: GatherDOF_Recombine           0.016    0.012    0.018
CS: ToneMap_Tonemap               0.013    0.010    0.206
CS: ToneMap__2__Tonemap           0.011    0.010    0.012
Tex: GatherDOF__1__FloodFilledBlurredFarFieldColorAlpha    0.010    0.005    0.020
Tex: GatherDOF__1__NearFieldColorCoC    0.009    0.005    0.012
Tex: GatherDOF_NearFieldColorCoCBorderBlurred    0.009    0.002    0.016
Tex: GatherDOF_FloodFilledBlurredNearFieldColorAlpha    0.009    0.002    0.014
CS: GatherDOF__1__FloodFillFar    0.008    0.006    0.010
CS: GatherDOF__1__NearBorder      0.008    0.008    0.009
Tex: GatherDOF_FloodFilledBlurredFarFieldColorAlpha    0.008    0.004    0.013
Tex: GatherDOF_BlurredFarFieldColorAlpha    0.008    0.003    0.012
CS: GatherDOF_FloodFillFar        0.007    0.006    0.009
Tex: GatherDOF__1__BlurredFarFieldColorAlpha    0.007    0.002    0.011
Tex: GatherDOF__1__FloodFilledBlurredNearFieldColorAlpha    0.007    0.005    0.012
Tex: GatherDOF_NearFieldColorCoC    0.007    0.005    0.011
Tex: GatherDOF__1__NearFieldColorCoCBorderBlurred    0.007    0.001    0.014
Tex: GatherDOF__1__FarFieldColorCoC    0.007    0.005    0.009
Tex: GatherDOF_FarFieldColorCoC    0.007    0.005    0.008
CS: GatherDOF__1__NearBlur        0.005    0.004    0.006
CS: GatherDOF__1__FloodFillNear    0.005    0.004    0.005
Tex: GatherDOF_NearFieldColorCoCBorder    0.004    0.001    0.009
Tex: GatherDOF__1__NearMaxCocTilemap_1_4    0.003    0.001    0.010
