Profiling Summary: GatherDoF_TapCount_40_Incremental
============================================================

Warmup frames: 10
Profiling frames: 100

GPU Timings (ms):
------------------------------------------------------------
Pass                                          Avg      Min      Max
------------------------------------------------------------
Total                                      69.416   67.680   71.559
CS: GatherDOF_BokehConfig_BlurFar          25.488   24.618   26.590
CS: GatherDOF_Pinhole_BlurFar              24.927   24.235   26.173
RGS: Raytrace                              16.540   15.950   17.153
Buff: Scene                                 0.510    0.506    0.515
Buff: VertexBuffer                          0.508    0.504    0.516
CS: ToneMap_PinholeDOF_Tonemap              0.193    0.191    0.195
CS: ToneMap_BokehConfig_Tonemap             0.192    0.191    0.197
CS: TemporalAccumulation_BokehConfig_DoAccum    0.068    0.068    0.070
CS: TemporalAccumulation_PinholeDOF_DoAccum    0.068    0.068    0.070
CS: GatherDOF_BokehConfig_Recombine         0.050    0.049    0.051
CS: GatherDOF_Pinhole_Recombine             0.050    0.048    0.051
Tex: GatherDOF_Pinhole_Output               0.047    0.045    0.049
Tex: GatherDOF_BokehConfig_Output           0.045    0.043    0.047
CS: GatherDOF_Pinhole_Setup                 0.045    0.044    0.046
CS: GatherDOF_BokehConfig_Setup             0.041    0.041    0.043
Tex: GatherDOF_BokehConfig_DebugTex         0.038    0.035    0.041
Tex: GatherDOF_Pinhole_DebugTex             0.038    0.035    0.042
CS: ToneMapLens_Simulation_Tonemap          0.033    0.032    0.034
CS: ToneMapLens_BokehConfig_Simulation_Tonemap    0.032    0.031    0.033
CS: GatherDOF_BokehConfig_NearBlur          0.027    0.024    0.030
CS: GatherDOF_Pinhole_NearBlur              0.024    0.023    0.027
CS: GatherDOF_Pinhole_FloodFillFar          0.015    0.014    0.016
CS: GatherDOF_BokehConfig_FloodFillFar      0.015    0.013    0.016
CS: GatherDOF_BokehConfig_FloodFillNear     0.014    0.013    0.014
Tex: GatherDOF_BokehConfig_BlurredFarFieldColorAlpha    0.014    0.011    0.015
CS: GatherDOF_Pinhole_FloodFillNear         0.013    0.012    0.014
CS: GatherDOF_BokehConfig_NearBorder        0.013    0.012    0.014
CS: GatherDOF_Pinhole_NearBorder            0.013    0.012    0.014
Tex: GatherDOF_Pinhole_BlurredFarFieldColorAlpha    0.013    0.010    0.015
Tex: GatherDOF_BokehConfig_FarFieldColorCoC    0.012    0.008    0.015
Tex: GatherDOF_Pinhole_FarFieldColorCoC     0.011    0.008    0.014
Tex: GatherDOF_BokehConfig_FloodFilledBlurredNearFieldColorAlpha    0.011    0.007    0.015
Tex: ToneMapLens_Simulation_Color_SDR       0.010    0.009    0.011
Tex: GatherDOF_Pinhole_FloodFilledBlurredNearFieldColorAlpha    0.010    0.005    0.016
Tex: GatherDOF_Pinhole_NearFieldColorCoCBorderBlurred    0.010    0.007    0.014
Tex: ToneMap_BokehConfig_Color_SDR          0.010    0.009    0.010
Tex: ToneMap_PinholeDOF_Color_SDR           0.010    0.009    0.010
Tex: GatherDOF_BokehConfig_NearFieldColorCoCBorderBlurred    0.010    0.005    0.015
Tex: ToneMapLens_BokehConfig_Simulation_Color_SDR    0.010    0.009    0.010
Tex: GatherDOF_BokehConfig_FloodFilledBlurredFarFieldColorAlpha    0.009    0.007    0.011
Tex: GatherDOF_BokehConfig_NearFieldColorCoCBorder    0.009    0.004    0.013
Tex: GatherDOF_Pinhole_FloodFilledBlurredFarFieldColorAlpha    0.009    0.006    0.012
CS: GatherDOF_Pinhole_DownscaleTileMap_1_4    0.008    0.007    0.010
CS: GatherDOF_BokehConfig_DownscaleTileMap_1_4    0.008    0.007    0.009
Tex: GatherDOF_Pinhole_NearFieldColorCoC    0.008    0.005    0.010
Tex: GatherDOF_BokehConfig_NearFieldColorCoC    0.007    0.003    0.010
CS: GatherDOF_BokehConfig_NearHalo          0.007    0.006    0.007
CS: GatherDOF_Pinhole_NearHalo              0.007    0.006    0.007
Tex: GatherDOF_Pinhole_NearFieldColorCoCBorder    0.005    0.001    0.009
CS: GatherDOF_BokehConfig_DownscaleTileMap_1_8    0.004    0.004    0.005
CS: GatherDOF_Pinhole_DownscaleTileMap_1_8    0.004    0.003    0.005
Tex: GatherDOF_BokehConfig_NearMaxCocTilemap_1_8    0.002    0.000    0.005
Tex: GatherDOF_Pinhole_NearMaxCocTilemap_1_8_Halo    0.001    0.000    0.003
Tex: GatherDOF_Pinhole_NearMaxCocTilemap_1_8    0.001    0.000    0.005
Tex: GatherDOF_Pinhole_NearMaxCocTilemap_1_4    0.001    0.000    0.003
Tex: GatherDOF_BokehConfig_NearMaxCocTilemap    0.001    0.000    0.003
Tex: GatherDOF_Pinhole_NearMaxCocTilemap    0.001    0.000    0.002
Tex: GatherDOF_BokehConfig_NearMaxCocTilemap_1_4    0.001    0.000    0.002
Const: _ToneMap_BokehConfig_Tonemap_0CB     0.001    0.000    0.001
Const: _GatherDOF_Pinhole_FloodFillFarCS_0CB    0.000    0.000    0.001
Tex: TemporalAccumulation_PinholeDOF_Accum    0.000    0.000    0.001
Tex: TemporalAccumulation_BokehConfig_Accum    0.000    0.000    0.001
Tex: _loadedTexture_62                      0.000    0.000    0.001
Const: _TemporalAccumulation_PinholeDOF_Accumulate_0CB    0.000    0.000    0.001
Tex: _loadedTexture_64                      0.000    0.000    0.001
Tex: _loadedTexture_41                      0.000    0.000    0.001
Const: _GatherDOF_Pinhole_RecombineCS_0CB    0.000    0.000    0.001
Tex: _loadedTexture_154                     0.000    0.000    0.001
Tex: _loadedTexture_66                      0.000    0.000    0.001
Const: _GatherDOF_Pinhole_SetupCS_0CB       0.000    0.000    0.000
Tex: _loadedTexture_156                     0.000    0.000    0.001
Tex: _loadedTexture_43                      0.000    0.000    0.001
Const: _ToneMapLens_BokehConfig_Simulation_Tonemap_0CB    0.000    0.000    0.000
Const: _ToneMapLens_Simulation_Tonemap_0CB    0.000    0.000    0.000
Tex: _loadedTexture_150                     0.000    0.000    0.001
Tex: _loadedTexture_152                     0.000    0.000    0.001
Tex: _loadedTexture_162                     0.000    0.000    0.001
Tex: _loadedTexture_45                      0.000    0.000    0.001
Tex: _loadedTexture_160                     0.000    0.000    0.001
Const: _TemporalAccumulation_BokehConfig_Accumulate_0CB    0.000    0.000    0.001
Const: _GatherDOF_BokehConfig_RecombineCS_0CB    0.000    0.000    0.001
Tex: _loadedTexture_112                     0.000    0.000    0.001
Tex: _loadedTexture_110                     0.000    0.000    0.001
Tex: _loadedTexture_60                      0.000    0.000    0.001
Tex: _loadedTexture_158                     0.000    0.000    0.001
Const: _ToneMap_PinholeDOF_Tonemap_0CB      0.000    0.000    0.001
Tex: _loadedTexture_157                     0.000    0.000    0.001
Tex: _loadedTexture_82                      0.000    0.000    0.001
Tex: _loadedTexture_177                     0.000    0.000    0.001
Tex: _loadedTexture_13                      0.000    0.000    0.001
Tex: GatherDOF_BokehConfig_NearMaxCocTilemap_1_8_Halo    0.000    0.000    0.002
Tex: _loadedTexture_114                     0.000    0.000    0.001
Tex: _loadedTexture_159                     0.000    0.000    0.001
Tex: _loadedTexture_202                     0.000    0.000    0.001
Tex: _loadedTexture_11                      0.000    0.000    0.001
Tex: _loadedTexture_19                      0.000    0.000    0.001
Tex: _loadedTexture_108                     0.000    0.000    0.001
Tex: _loadedTexture_47                      0.000    0.000    0.001
Tex: _loadedTexture_15                      0.000    0.000    0.001
Tex: _loadedTexture_88                      0.000    0.000    0.001
Tex: _loadedTexture_9                       0.000    0.000    0.001
Tex: _loadedTexture_155                     0.000    0.000    0.001
Tex: _loadedTexture_148                     0.000    0.000    0.001
Tex: _loadedTexture_165                     0.000    0.000    0.001
Tex: _loadedTexture_179                     0.000    0.000    0.001
Tex: _loadedTexture_84                      0.000    0.000    0.001
Tex: _loadedTexture_86                      0.000    0.000    0.001
Tex: _loadedTexture_187                     0.000    0.000    0.001
Tex: _loadedTexture_17                      0.000    0.000    0.001
Tex: _loadedTexture_175                     0.000    0.000    0.001
Tex: _loadedTexture_46                      0.000    0.000    0.001
Tex: _loadedTexture_161                     0.000    0.000    0.001
Tex: _loadedTexture_185                     0.000    0.000    0.001
Tex: _loadedTexture_183                     0.000    0.000    0.001
Tex: _loadedTexture_27                      0.000    0.000    0.001
Tex: _loadedTexture_49                      0.000    0.000    0.001
Tex: _loadedTexture_197                     0.000    0.000    0.001
Tex: _loadedTexture_116                     0.000    0.000    0.001
Tex: _loadedTexture_48                      0.000    0.000    0.001
Tex: _loadedTexture_39                      0.000    0.000    0.001
Tex: _loadedTexture_50                      0.000    0.000    0.001
Tex: _loadedTexture_153                     0.000    0.000    0.001
Tex: _loadedTexture_42                      0.000    0.000    0.001
Tex: _loadedTexture_140                     0.000    0.000    0.001
Tex: _loadedTexture_188                     0.000    0.000    0.001
Tex: _loadedTexture_138                     0.000    0.000    0.001
Tex: _loadedTexture_151                     0.000    0.000    0.001
Tex: _loadedTexture_44                      0.000    0.000    0.001
Tex: _loadedTexture_181                     0.000    0.000    0.001
Tex: _loadedTexture_21                      0.000    0.000    0.001
Tex: _loadedTexture_90                      0.000    0.000    0.001
Tex: _loadedTexture_28                      0.000    0.000    0.001
Tex: _loadedTexture_58                      0.000    0.000    0.001
Tex: _loadedTexture_146                     0.000    0.000    0.001
Tex: _loadedTexture_14                      0.000    0.000    0.001
Tex: _loadedTexture_167                     0.000    0.000    0.001
Tex: _loadedTexture_163                     0.000    0.000    0.001
Tex: _loadedTexture_171                     0.000    0.000    0.001
Tex: _loadedTexture_131                     0.000    0.000    0.001
Tex: _loadedTexture_205                     0.000    0.000    0.001
Const: _RayGenCB                            0.000    0.000    0.001
Tex: _loadedTexture_109                     0.000    0.000    0.001
Tex: _loadedTexture_20                      0.000    0.000    0.001
Tex: _loadedTexture_113                     0.000    0.000    0.001
Tex: _loadedTexture_178                     0.000    0.000    0.001
Tex: _loadedTexture_56                      0.000    0.000    0.001
Tex: _loadedTexture_111                     0.000    0.000    0.001
Tex: _loadedTexture_92                      0.000    0.000    0.001
Tex: _loadedTexture_94                      0.000    0.000    0.001
Tex: _loadedTexture_68                      0.000    0.000    0.001
Tex: _loadedTexture_191                     0.000    0.000    0.001
Tex: _loadedTexture_77                      0.000    0.000    0.001
Tex: _loadedTexture_74                      0.000    0.000    0.001
Tex: _loadedTexture_130                     0.000    0.000    0.001
Tex: _loadedTexture_169                     0.000    0.000    0.001
Tex: _loadedTexture_186                     0.000    0.000    0.001
Tex: _loadedTexture_102                     0.000    0.000    0.001
Tex: _loadedTexture_134                     0.000    0.000    0.001
Tex: _loadedTexture_83                      0.000    0.000    0.001
Tex: _loadedTexture_203                     0.000    0.000    0.001
Tex: _loadedTexture_142                     0.000    0.000    0.001
Tex: _loadedTexture_129                     0.000    0.000    0.001
Tex: _loadedTexture_180                     0.000    0.000    0.001
Tex: _loadedTexture_104                     0.000    0.000    0.001
Tex: _loadedTexture_190                     0.000    0.000    0.001
Tex: _loadedTexture_96                      0.000    0.000    0.001
Tex: _loadedTexture_12                      0.000    0.000    0.001
Tex: _loadedTexture_195                     0.000    0.000    0.001
Tex: _loadedTexture_105                     0.000    0.000    0.001
Tex: _loadedTexture_95                      0.000    0.000    0.001
Tex: _loadedTexture_23                      0.000    0.000    0.001
Tex: _loadedTexture_24                      0.000    0.000    0.001
Tex: _loadedTexture_106                     0.000    0.000    0.001
Tex: _loadedTexture_173                     0.000    0.000    0.001
Tex: _loadedTexture_182                     0.000    0.000    0.001
Tex: _loadedTexture_99                      0.000    0.000    0.001
Tex: _loadedTexture_26                      0.000    0.000    0.001
Tex: _loadedTexture_51                      0.000    0.000    0.001
Tex: _loadedTexture_22                      0.000    0.000    0.001
